date,open,high,close,low,volume,price_change,p_change
2015-11-19,2678.355,2770.752,2770.752,2676.755,22563938.0,109.587,4.12
2015-11-18,2727.61,2741.327,2661.165,2655.061,19646366.0,-55.887,-2.06
2015-11-17,2834.98,2847.899,2717.052,2711.583,28119738.0,-80.11,-2.86
2015-11-16,2656.574,2797.162,2797.162,2654.636,20974444.0,87.001,3.21
2015-11-13,2751.386,2772.815,2710.161,2681.606,25001146.0,-73.137,-2.63
2015-11-12,2818.568,2827.711,2783.298,2743.26,28310940.0,-21.379,-0.76
2015-11-11,2738.584,2806.536,2804.677,2730.52,27655098.0,58.068,2.11
2015-11-10,2710.899,2783.118,2746.609,2700.286,24161190.0,21.99,0.81
2015-11-09,2653.309,2747.787,2724.619,2612.263,25798448.0,63.207,2.38
2015-11-06,2571.656,2666.399,2661.412,2571.656,24149370.0,96.69,3.77
2015-11-05,2587.819,2630.826,2564.722,2542.848,25809208.0,-19.595,-0.76
2015-11-04,2451.227,2584.317,2584.317,2451.227,22827966.0,155.047,6.38
2015-11-03,2444.051,2461.331,2429.27,2407.553,13646597.0,-2.768,-0.11
2015-11-02,2416.1,2513.323,2432.038,2408.779,15840041.0,-46.239,-1.87
2015-10-30,2475.229,2534.472,2478.277,2439.158,17408714.0,-6.999,-0.28
2015-10-29,2504.854,2528.704,2485.276,2436.777,14051444.0,0.041,0.0
2015-10-28,2551.701,2583.819,2485.235,2473.465,19012052.0,-78.723,-3.07
2015-10-27,2497.155,2586.948,2563.958,2423.597,20936166.0,36.481,1.44
2015-10-26,2570.128,2570.128,2527.477,2481.589,24660640.0,-10.906,-0.43
2015-10-23,2488.306,2549.763,2538.383,2461.492,25269488.0,80.245,3.26
2015-10-22,2355.157,2465.104,2458.138,2355.157,22092728.0,113.398,4.84
2015-10-21,2504.784,2527.771,2344.74,2335.663,26526040.0,-166.424,-6.63
2015-10-20,2430.183,2520.084,2511.164,2427.784,21095374.0,77.565,3.19
2015-10-19,2465.11,2466.477,2433.599,2398.34,20147794.0,-15.431,-0.63
2015-10-16,2424.62,2452.94,2449.03,2401.093,22128934.0,44.497,1.85
2015-10-15,2300.617,2406.208,2404.533,2296.795,21002800.0,99.53,4.32
2015-10-14,2330.083,2350.594,2305.003,2295.597,17811336.0,-37.036,-1.58
2015-10-13,2297.932,2351.521,2342.039,2290.639,17896284.0,25.257,1.09
2015-10-12,2233.605,2344.207,2316.782,2232.271,21355824.0,100.126,4.52
2015-10-09,2190.839,2230.028,2216.656,2184.552,17107822.0,26.345,1.2
2015-10-08,2153.118,2210.035,2190.311,2138.541,16881108.0,107.638,5.17
2015-10-07,2113.027,2128.83,2115.845,2112.58,340675.5,33.172,1.59
2015-09-30,2111.987,2124.289,2082.673,2049.425,11351640.0,-15.894,-0.76
2015-09-29,2089.538,2135.512,2098.567,2075.972,15204186.0,-23.69,-1.12
2015-09-28,2024.892,2124.062,2122.257,2007.916,14308872.0,101.285,5.01
2015-09-25,2091.854,2106.954,2020.972,2002.45,15507784.0,-85.622,-4.06
2015-09-24,2090.557,2130.465,2106.594,2084.31,17553474.0,28.604,1.38
2015-09-23,2039.487,2103.224,2077.99,2036.063,14922606.0,-0.728,-0.04
2015-09-22,2082.336,2108.559,2078.718,2042.133,18312348.0,-0.342,-0.02
2015-09-21,1950.328,2080.219,2079.06,1945.354,17143502.0,95.762,4.83
2015-09-18,1948.116,1995.497,1983.298,1922.142,14501813.0,50.001,2.59
2015-09-17,1943.285,2020.554,1933.297,1922.799,17974048.0,7.052,0.37
2015-09-16,1813.727,1928.778,1926.245,1808.748,13649238.0,128.688,7.16
2015-09-15,1843.23,1892.809,1797.557,1794.292,12642825.0,-108.657,-5.7
2015-09-14,2068.202,2075.671,1906.214,1905.203,12874800.0,-154.291,-7.49
2015-09-11,2039.012,2084.051,2060.505,2029.811,12532679.0,21.387,1.05
2015-09-10,2030.032,2078.423,2039.118,2024.892,14392333.0,-32.599,-1.57
2015-09-09,2023.305,2102.225,2071.717,2017.098,22026872.0,70.561,3.53
2015-09-08,1875.674,2004.81,2001.156,1859.205,15813931.0,107.635,5.68
2015-09-07,1882.859,1953.397,1893.521,1878.263,16568997.0,38.489,2.08
2015-09-02,1787.709,1953.914,1855.032,1779.181,17259360.0,-34.459,-1.82
2015-09-01,1959.455,1959.455,1889.491,1877.361,14093049.0,-107.374,-5.38
2015-08-31,2056.286,2058.852,1996.865,1987.576,14476517.0,-85.259,-4.09
2015-08-28,1990.345,2086.872,2082.124,1960.393,19047124.0,122.63,6.26
2015-08-27,1924.778,1959.982,1959.494,1843.186,17904960.0,69.458,3.67
2015-08-26,1975.923,2044.656,1890.036,1875.029,19339682.0,-100.67,-5.06
2015-08-25,1996.043,2048.026,1990.706,1987.124,12050757.0,-161.908,-7.52
2015-08-24,2222.542,2246.55,2152.614,2152.614,9725534.0,-189.34,-8.09
2015-08-21,2452.615,2480.675,2341.954,2340.917,13140844.0,-166.863,-6.65
2015-08-20,2556.772,2610.895,2508.817,2508.349,14996965.0,-61.874,-2.41
2015-08-19,2427.937,2584.36,2570.691,2359.166,16762195.0,66.519,2.66
2015-08-18,2674.422,2720.575,2504.172,2488.608,19159772.0,-162.115,-6.08
2015-08-17,2665.373,2676.715,2666.287,2613.784,13488686.0,-7.735,-0.29
2015-08-14,2713.784,2725.466,2674.022,2664.416,15087068.0,-10.236,-0.38
